# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6354
#@/user_id	ad4735de-f6a4-47fe-aa8e-4a1a80cb8225
cou1 	粗	c=1 d=0.0020601 t=6354
cou1 hau2 	粗口	c=1 d=7.98788e-05 t=6354
cou3 	燥	c=1 d=0.000703108 t=6354
cou3 kwong4 	躁狂	c=2 d=0.00295372 t=6354
cou4 	嘈	c=1 d=1.0057e-08 t=6354
cung1 zik6 	充值	c=1 d=0.0340475 t=6354
cung4 	重	c=1 d=0.0288686 t=6354
cung4 lam4 	叢林	c=0 d=1.27827e-07 t=6354
cung4 loi4 	從來	c=1 d=1.16243e-06 t=6354
cung4 san1 	重新	c=1 d=0.166127 t=6354
cung4 seoi3 	重稅	c=1 d=5.10822e-10 t=6354
cyu2 lei5 	處理	c=1 d=0.0720785 t=6354
cyu5 	儲	c=2 d=2.03307e-11 t=6354
cyun4 	全	c=2 d=0.000262568 t=6354
cyun4 bou6 	全部	c=1 d=0.694197 t=6354
cyun4 jat6 	全日	c=1 d=0.000175127 t=6354
cyun4 jim5 	傳染	c=0 d=7.2652e-08 t=6354
cyun4 lik6 	全力	c=1 d=1.11704e-08 t=6354
cyun4 syut3 	傳說	c=0 d=4.12995e-10 t=6354
daa1 din6 waa2 	打電話	c=1 d=1.18959e-13 t=6354
daa2 	打	c=9 d=0.236074 t=6354
daa2 co3 	打錯	c=1 d=4.3522e-08 t=6354
daa2 kaat1 	打卡	c=1 d=9.38025e-13 t=6354
daa2 laang5 zan3 	打冷震	c=1 d=0.366045 t=6354
daa2 syun3 	打算	c=3 d=4.13936e-06 t=6354
daai3 saam1 	帶衫	c=1 d=2.29012e-13 t=6354
daai6 	大	c=9 d=0.240368 t=6354
daai6 baa1 	大巴	c=1 d=3.09776e-08 t=6354
daai6 bou6 fan6 	大部分	c=2 d=0.56836 t=6354
daai6 daam2 	大膽	c=1 d=3.43301e-11 t=6354
daai6 din1 	大顛	c=1 d=6.20808e-10 t=6354
daai6 faai3 wut6 	大快活	c=1 d=2.33599e-11 t=6354
daai6 faat3 	大法	c=2 d=1.87142e-13 t=6354
daai6 fong4 	大房	c=1 d=1.88799e-06 t=6354
daai6 gaa1 	大家	c=3 d=0.10861 t=6354
daai6 hoi1 	大開	c=2 d=0.0242737 t=6354
daai6 hoi2 	大海	c=1 d=0.000949097 t=6354
daai6 hok6 dou6 	大學道	c=1 d=0.00166156 t=6354
daai6 hou2 do1 	大好多	c=1 d=0.000288735 t=6354
daai6 hung4 	大紅	c=0 d=1.02072e-07 t=6354
daai6 hung4 maan6 jau4 	大紅漫遊	c=1 d=1.02584e-06 t=6354
daai6 kek6 jyun2 	大劇院	c=1 d=1.12865e-12 t=6354
